Number of nodes: 20
Number of links: 62
==================================================
source	dest.	hops	path (link ids)
[2]	[14]	5/6/7	7-8-14-20-28/3-4-36-38-42-46/10-16-22-32-55-53-51
[2]	[15]	6/6/6	7-8-14-20-28-50/3-4-36-38-42-48/10-16-22-32-55-53
[2]	[16]	5/5/7	3-4-36-38-44/10-16-22-32-55/7-8-14-20-28-50-52
[2]	[17]	4/5/8	10-16-22-32/3-4-36-40-57/7-8-14-20-28-50-52-54
[2]	[18]	4/5/10	3-4-36-40/10-16-22-32-56/7-8-14-20-28-50-52-54-58-61
[2]	[19]	5/5/0	10-16-22-32-58/3-4-36-40-60/-
[3]	[0]	2/3/5	9-1/12-11-3/14-20-26-34-5
[3]	[1]	1/3/6	9/12-11-7/14-20-26-34-5-0
[3]	[2]	2/2/6	12-11/9-6/14-20-26-34-5-2
[3]	[3]	0/0/0	-/-/-
[3]	[4]	1/3/3	12/14-18-17/9-6-10
[3]	[5]	1/3/6	14/12-16-19/9-1-4-35-27-21
[3]	[6]	2/2/6	14-18/12-16/9-1-4-35-31-23
[3]	[7]	2/4/5	14-20/12-16-22-25/9-1-4-35-27
[3]	[8]	3/3/5	12-16-22/14-20-24/9-1-4-35-31
[3]	[9]	3/4/4	14-20-26/9-1-4-35/12-16-22-30
[3]	[10]	3/4/7	9-1-4/14-20-26-34/12-16-22-32-56-41-37
[3]	[11]	4/6/6	9-1-4-36/14-20-28-47-43-39/12-16-22-32-56-41
[3]	[12]	5/5/6	14-20-28-47-43/9-1-4-36-38/12-16-22-32-55-45
[3]	[13]	4/6/7	14-20-28-47/9-1-4-36-38-42/12-16-22-32-55-53-49
[3]	[14]	3/7/7	14-20-28/12-16-22-32-55-53-51/9-1-4-36-38-42-46
[3]	[15]	4/6/7	14-20-28-50/12-16-22-32-55-53/9-1-4-36-38-42-48
[3]	[16]	5/5/6	14-20-28-50-52/12-16-22-32-55/9-1-4-36-38-44
[3]	[17]	4/6/6	12-16-22-32/14-20-28-50-52-54/9-1-4-36-40-57
[3]	[18]	5/5/11	9-1-4-36-40/14-20-24-32-56/12-16-22-30-27-28-50-52-54-58-61
[3]	[19]	5/6/0	12-16-22-32-58/9-1-4-36-40-60/-
[4]	[0]	2/3/5	11-3/13-9-1/16-22-30-34-5
[4]	[1]	2/2/6	13-9/11-7/16-22-30-34-5-0
[4]	[2]	1/3/6	11/13-9-6/16-22-30-34-5-2
[4]	[3]	1/3/3	13/16-19-15/11-7-8
[4]	[4]	0/0/0	-/-/-
[4]	[5]	2/2/6	16-19/13-14/11-3-4-35-27-21
[4]	[6]	1/3/6	16/13-14-18/11-3-4-35-31-23
[4]	[7]	3/3/5	13-14-20/16-22-25/11-3-4-35-27
[4]	[8]	2/4/5	16-22/13-14-20-24/11-3-4-35-31
[4]	[9]	3/4/4	16-22-30/11-3-4-35/13-14-20-26
[4]	[10]	3/4/8	11-3-4/16-22-30-34/13-14-20-28-47-43-39-37
[4]	[11]	4/5/7	11-3-4-36/16-22-32-56-41/13-14-20-28-47-43-39
[4]	[12]	5/5/6	11-3-4-36-38/16-22-32-55-45/13-14-20-28-47-43
[4]	[13]	5/6/6	13-14-20-28-47/11-3-4-36-38-42/16-22-32-55-53-49
[4]	[14]	4/6/7	13-14-20-28/16-22-32-55-53-51/11-3-4-36-38-42-46
[4]	[15]	5/7/0	16-22-25-28-50/11-3-4-36-38-44-53/-
[4]	[16]	4/6/6	16-22-32-55/11-3-4-36-38-44/13-14-20-28-50-52
[4]	[17]	3/6/7	16-22-32/11-3-4-36-40-57/13-14-20-28-50-52-54
[4]	[18]	4/5/9	16-22-32-56/11-3-4-36-40/13-14-20-28-50-52-54-58-61
[4]	[19]	4/6/0	16-22-32-58/11-3-4-36-40-60/-
[5]	[0]	3/4/4	15-9-1/18-17-11-3/20-26-34-5
[5]	[1]	2/4/5	15-9/18-17-11-7/20-26-34-5-0
[5]	[2]	3/3/5	18-17-11/15-9-6/20-26-34-5-2
[5]	[3]	1/3/6	15/18-17-13/20-26-34-5-0-8
[5]	[4]	2/2/6	18-17/15-12/20-26-34-5-2-10
[5]	[5]	0/0/0	-/-/-
[5]	[6]	1/3/3	18/20-24-23/15-12-16
[5]	[7]	1/3/6	20/18-22-25/15-9-1-4-35-27
[5]	[8]	2/2/6	18-22/20-24/15-9-1-4-35-31
[5]	[9]	2/3/5	20-26/18-22-30/15-9-1-4-35
[5]	[10]	3/4/6	20-26-34/15-9-1-4/18-22-32-56-41-37
[5]	[11]	4/5/0	20-26-34-36/18-22-32-56-41/-
[5]	[12]	4/5/6	20-28-47-43/18-22-32-55-45/15-9-1-4-36-38
[5]	[13]	3/6/7	20-28-47/18-22-32-55-53-49/15-9-1-4-36-38-42
[5]	[14]	2/6/8	20-28/18-22-32-55-53-51/15-9-1-4-36-38-42-46
[5]	[15]	3/5/8	20-28-50/18-22-32-55-53/15-9-1-4-36-38-42-48
[5]	[16]	4/4/7	18-22-32-55/20-28-50-52/15-9-1-4-36-38-44
[5]	[17]	3/5/7	18-22-32/20-28-50-52-54/15-9-1-4-36-40-57
[5]	[18]	4/6/10	20-24-32-56/15-9-1-4-36-40/18-22-30-27-28-50-52-54-58-61
[5]	[19]	4/6/0	18-22-32-58/20-26-34-36-40-60/-
[6]	[0]	3/4/4	17-11-3/19-15-9-1/22-30-34-5
[6]	[1]	3/3/5	17-11-7/19-15-9/22-30-34-5-0
[6]	[2]	2/4/5	17-11/19-15-9-6/22-30-34-5-2
[6]	[3]	2/2/6	19-15/17-13/22-30-34-5-0-8
[6]	[4]	1/3/6	17/19-15-12/22-30-34-5-2-10
[6]	[5]	1/3/3	19/22-25-21/17-13-14
[6]	[6]	0/0/0	-/-/-
[6]	[7]	2/2/6	19-20/22-25/17-11-3-4-35-27
[6]	[8]	1/3/6	22/19-20-24/17-11-3-4-35-31
[6]	[9]	2/3/5	22-30/19-20-26/17-11-3-4-35
[6]	[10]	3/4/7	22-30-34/17-11-3-4/19-20-28-47-43-39-37
[6]	[11]	4/6/0	22-30-34-36/19-20-28-47-43-39/-
[6]	[12]	4/5/6	22-32-55-45/19-20-28-47-43/17-11-3-4-36-38
[6]	[13]	4/5/7	19-20-28-47/22-32-55-53-49/17-11-3-4-36-38-42
[6]	[14]	3/5/8	19-20-28/22-32-55-53-51/17-11-3-4-36-38-42-46
[6]	[15]	4/7/8	22-25-28-50/19-20-26-31-32-55-53/17-11-3-4-36-38-42-48
[6]	[16]	3/5/7	22-32-55/19-20-28-50-52/17-11-3-4-36-38-44
[6]	[17]	2/6/7	22-32/19-20-28-50-52-54/17-11-3-4-36-40-57
[6]	[18]	3/6/8	22-32-56/17-11-3-4-36-40/19-20-28-50-52-54-58-61
[6]	[19]	3/7/0	22-32-58/17-11-3-4-36-40-60/-
[7]	[0]	3/4/5	26-34-5/21-15-9-1/24-23-17-11-3
[7]	[1]	3/4/5	21-15-9/26-34-5-0/24-23-17-11-7
[7]	[2]	4/4/4	21-15-9-6/24-23-17-11/26-34-5-2
[7]	[3]	2/4/5	21-15/24-23-17-13/26-34-5-0-8
[7]	[4]	3/3/5	21-15-12/24-23-17/26-34-5-2-10
[7]	[5]	1/3/6	21/24-23-19/26-34-5-0-8-14
[7]	[6]	2/2/6	21-18/24-23/26-34-5-2-10-16
[7]	[7]	0/0/0	-/-/-
[7]	[8]	1/2/3	24/26-31/21-18-22
[7]	[9]	1/2/6	26/24-30/21-15-9-1-4-35
[7]	[10]	2/5/5	26-34/21-15-9-1-4/24-32-56-41-37
[7]	[11]	3/4/4	26-34-36/28-47-43-39/24-32-56-41
[7]	[12]	3/4/4	28-47-43/26-34-36-38/24-32-55-45
[7]	[13]	2/5/5	28-47/24-32-55-53-49/26-34-36-38-42
[7]	[14]	1/5/6	28/24-32-55-53-51/26-34-36-38-42-46
[7]	[15]	2/4/6	28-50/24-32-55-53/26-34-36-38-42-48
[7]	[16]	3/3/5	28-50-52/24-32-55/26-34-36-38-44
[7]	[17]	2/4/5	24-32/28-50-52-54/26-34-36-40-57
[7]	[18]	3/4/6	24-32-56/26-34-36-40/28-50-52-54-58-61
[7]	[19]	3/5/0	24-32-58/26-34-36-40-60/-
[8]	[0]	3/4/5	30-34-5/23-17-11-3/25-21-15-9-1
[8]	[1]	4/4/4	23-17-11-7/25-21-15-9/30-34-5-0
[8]	[2]	3/4/5	23-17-11/30-34-5-2/25-21-15-9-6
[8]	[3]	3/3/5	23-17-13/25-21-15/30-34-5-0-8
[8]	[4]	2/4/5	23-17/25-21-15-12/30-34-5-2-10
[8]	[5]	2/2/6	23-19/25-21/30-34-5-0-8-14
[8]	[6]	1/3/6	23/25-21-18/30-34-5-2-10-16
[8]	[7]	1/2/3	25/30-27/23-19-20
[8]	[8]	0/0/0	-/-/-
[8]	[9]	1/2/5	30/25-26/32-56-41-37-35
[8]	[10]	2/4/5	30-34/32-56-41-37/23-17-11-3-4
[8]	[11]	3/3/5	32-56-41/30-34-36/25-28-47-43-39
[8]	[12]	3/4/4	32-55-45/30-34-36-38/25-28-47-43
[8]	[13]	3/4/5	25-28-47/32-55-53-49/30-34-36-38-42
[8]	[14]	2/4/6	25-28/32-55-53-51/30-34-36-38-42-46
[8]	[15]	3/3/6	25-28-50/32-55-53/30-34-36-38-42-48
[8]	[16]	2/4/5	32-55/25-28-50-52/30-34-36-38-44
[8]	[17]	1/5/5	32/25-28-50-52-54/30-34-36-40-57
[8]	[18]	2/4/7	32-56/30-34-36-40/25-28-50-52-54-58-61
[8]	[19]	2/5/0	32-58/30-34-36-40-60/-
[9]	[0]	2/5/5	34-5/27-21-15-9-1/31-23-17-11-3
[9]	[1]	3/4/5	34-5-0/27-21-15-9/31-23-17-11-7
[9]	[2]	3/4/5	34-5-2/31-23-17-11/27-21-15-9-6
[9]	[3]	3/4/4	27-21-15/31-23-17-13/34-5-0-8
[9]	[4]	3/4/4	31-23-17/27-21-15-12/34-5-2-10
[9]	[5]	2/3/5	27-21/31-23-19/34-5-0-8-14
[9]	[6]	2/3/5	31-23/27-21-18/34-5-2-10-16
[9]	[7]	1/2/6	27/31-25/34-5-0-8-14-20
[9]	[8]	1/2/5	31/27-24/34-36-40-57-33
[9]	[9]	0/0/0	-/-/-
[9]	[10]	1/5/6	34/31-32-56-41-37/27-21-15-9-1-4
[9]	[11]	2/4/5	34-36/31-32-56-41/27-28-47-43-39
[9]	[12]	3/4/4	34-36-38/27-28-47-43/31-32-55-45
[9]	[13]	3/4/5	27-28-47/34-36-38-42/31-32-55-53-49
[9]	[14]	2/5/5	27-28/34-36-38-42-46/31-32-55-53-51
[9]	[15]	3/4/5	27-28-50/31-32-55-53/34-36-38-42-48
[9]	[16]	3/4/4	31-32-55/27-28-50-52/34-36-38-44
[9]	[17]	2/4/5	31-32/34-36-40-57/27-28-50-52-54
[9]	[18]	3/3/7	31-32-56/34-36-40/27-28-50-52-54-58-61
[9]	[19]	3/4/0	31-32-58/34-36-40-60/-
[10]	[0]	1/6/8	5/35-27-21-15-9-1/36-40-57-33-23-17-11-3
[10]	[1]	2/5/8	5-0/35-27-21-15-9/36-40-57-33-23-17-11-7
[10]	[2]	2/5/9	5-2/35-31-23-17-11/36-38-42-46-29-21-15-9-6
[10]	[3]	3/4/7	5-0-8/35-27-21-15/36-40-57-33-23-17-13
[10]	[4]	3/4/8	5-2-10/35-31-23-17/36-38-42-46-29-21-15-12
[10]	[5]	3/4/6	35-27-21/5-0-8-14/36-40-57-33-23-19
[10]	[6]	3/4/7	35-31-23/5-2-10-16/36-38-42-46-29-21-18
[10]	[7]	2/5/5	35-27/5-0-8-14-20/36-38-42-46-29
[10]	[8]	2/4/5	35-31/36-40-57-33/5-2-10-16-22
[10]	[9]	1/5/6	35/36-40-57-33-30/5-0-8-14-20-26
[10]	[10]	0/0/0	-/-/-
[10]	[11]	1/5/9	36/35-31-32-56-41/5-0-8-14-20-28-47-43-39
[10]	[12]	2/5/8	36-38/35-27-28-47-43/5-2-10-16-22-32-55-45
[10]	[13]	3/4/9	36-38-42/35-27-28-47/5-2-10-16-22-32-55-53-49
[10]	[14]	3/4/9	35-27-28/36-38-42-46/5-2-10-16-22-32-55-53-51
[10]	[15]	4/4/8	36-38-42-48/35-27-28-50/5-2-10-16-22-32-55-53
[10]	[16]	3/4/8	36-38-44/35-31-32-55/5-0-8-14-20-28-50-52
[10]	[17]	3/3/9	35-31-32/36-40-57/5-0-8-14-20-28-50-52-54
[10]	[18]	2/4/11	36-40/35-31-32-56/5-0-8-14-20-28-50-52-54-58-61
[10]	[19]	3/4/0	36-40-60/35-31-32-58/-
[11]	[0]	2/7/8	37-5/40-57-33-23-17-11-3/38-42-46-29-21-15-9-1
[11]	[1]	3/7/7	37-5-0/38-42-46-29-21-15-9/40-57-33-23-17-11-7
[11]	[2]	3/6/8	37-5-2/40-57-33-23-17-11/38-42-46-29-21-15-9-6
[11]	[3]	4/6/6	37-5-0-8/38-42-46-29-21-15/40-57-33-23-17-13
[11]	[4]	4/5/7	37-5-2-10/40-57-33-23-17/38-42-46-29-21-15-12
[11]	[5]	4/5/0	37-35-27-21/40-57-33-23-19/-
[11]	[6]	4/6/0	37-35-31-23/38-42-46-29-21-18/-
[11]	[7]	3/4/4	37-35-27/38-42-46-29/40-57-33-25
[11]	[8]	3/3/5	40-57-33/37-35-31/38-42-46-29-24
[11]	[9]	2/4/5	37-35/40-57-33-30/38-42-46-29-26
[11]	[10]	1/5/9	37/40-57-33-30-34/38-42-46-29-21-15-9-1-4
[11]	[11]	0/0/0	-/-/-
[11]	[12]	1/4/6	38/40-57-55-45/37-35-27-28-47-43
[11]	[13]	2/5/5	38-42/40-57-55-53-49/37-35-27-28-47
[11]	[14]	3/4/5	38-42-46/37-35-27-28/40-57-55-53-51
[11]	[15]	3/4/5	38-42-48/40-57-55-53/37-35-27-28-50
[11]	[16]	2/3/6	38-44/40-57-55/37-35-27-28-50-52
[11]	[17]	2/3/4	40-57/38-44-54/37-35-31-32
[11]	[18]	1/4/6	40/38-44-54-56/37-35-31-32-58-61
[11]	[19]	2/4/0	40-60/38-44-54-58/-
[12]	[0]	3/7/7	39-37-5/42-46-29-21-15-9-1/44-54-33-23-17-11-3
[12]	[1]	4/6/7	39-37-5-0/42-46-29-21-15-9/44-54-33-23-17-11-7
[12]	[2]	4/6/7	39-37-5-2/44-54-33-23-17-11/42-46-29-21-15-9-6
[12]	[3]	5/5/6	42-46-29-21-15/39-37-5-0-8/44-54-33-23-17-13
[12]	[4]	5/5/6	39-37-5-2-10/44-54-33-23-17/42-46-29-21-15-12
[12]	[5]	4/5/6	42-46-29-21/44-54-33-23-19/39-37-5-0-8-14
[12]	[6]	4/5/6	44-54-33-23/42-46-29-21-18/39-37-5-2-10-16
[12]	[7]	3/4/4	42-46-29/44-54-33-25/39-37-35-27
[12]	[8]	3/4/4	44-54-33/42-46-29-24/39-37-35-31
[12]	[9]	3/4/4	39-37-35/42-46-29-26/44-54-33-30
[12]	[10]	2/5/8	39-37/42-46-29-26-34/44-54-33-23-17-11-3-4
[12]	[11]	1/4/6	39/44-54-56-41/42-46-29-26-34-36
[12]	[12]	0/0/0	-/-/-
[12]	[13]	1/3/6	42/44-53-49/39-37-35-27-28-47
[12]	[14]	2/3/5	42-46/44-53-51/39-37-35-27-28
[12]	[15]	2/2/6	44-53/42-48/39-37-35-27-28-50
[12]	[16]	1/3/4	44/42-48-52/39-40-57-55
[12]	[17]	2/3/5	44-54/39-40-57/42-46-29-24-32
[12]	[18]	2/3/7	39-40/44-54-56/42-46-29-24-32-58-61
[12]	[19]	3/3/0	44-54-58/39-40-60/-
[13]	[0]	4/6/8	43-39-37-5/46-29-21-15-9-1/48-52-54-33-23-17-11-3
[13]	[1]	5/5/8	46-29-21-15-9/43-39-37-5-0/48-52-54-33-23-17-11-7
[13]	[2]	5/6/7	43-39-37-5-2/46-29-21-15-9-6/48-52-54-33-23-17-11
[13]	[3]	4/6/7	46-29-21-15/43-39-37-5-0-8/48-52-54-33-23-17-13
[13]	[4]	5/6/0	46-29-21-15-12/43-44-54-33-23-17/-
[13]	[5]	3/6/0	46-29-21/43-44-54-33-23-19/-
[13]	[6]	4/5/0	46-29-21-18/43-44-54-33-23/-
[13]	[7]	2/5/0	46-29/43-44-54-33-25/-
[13]	[8]	3/4/0	46-29-24/43-44-54-33/-
[13]	[9]	3/4/5	46-29-26/43-39-37-35/48-52-54-33-30
[13]	[10]	3/4/9	43-39-37/46-29-26-34/48-52-54-33-23-17-11-3-4
[13]	[11]	2/5/5	43-39/46-29-26-34-36/48-52-54-56-41
[13]	[12]	1/3/6	43/48-52-45/46-29-26-34-36-38
[13]	[13]	0/0/0	-/-/-
[13]	[14]	1/2/6	46/48-51/43-44-54-33-25-28
[13]	[15]	1/2/3	48/46-50/43-44-53
[13]	[16]	2/2/5	48-52/43-44/46-29-24-32-55
[13]	[17]	3/4/4	48-52-54/46-29-24-32/43-39-40-57
[13]	[18]	3/4/6	43-39-40/48-52-54-56/46-29-24-32-58-61
[13]	[19]	4/4/0	48-52-54-58/43-39-40-60/-
[14]	[0]	4/8/0	29-26-34-5/50-52-54-33-23-17-11-3/-
[14]	[1]	4/6/8	29-21-15-9/47-43-39-37-5-0/50-52-54-33-23-17-11-7
[14]	[2]	5/6/7	29-21-15-9-6/47-43-39-37-5-2/50-52-54-33-23-17-11
[14]	[3]	3/7/7	29-21-15/47-43-39-37-5-0-8/50-52-54-33-23-17-13
[14]	[4]	4/6/7	29-21-15-12/50-52-54-33-23-17/47-43-39-37-5-2-10
[14]	[5]	2/6/8	29-21/50-52-54-33-23-19/47-43-39-37-5-0-8-14
[14]	[6]	3/5/8	29-21-18/50-52-54-33-23/47-43-39-37-5-2-10-16
[14]	[7]	1/5/6	29/50-52-54-33-25/47-43-39-37-35-27
[14]	[8]	2/4/6	29-24/50-52-54-33/47-43-39-37-35-31
[14]	[9]	2/5/5	29-26/47-43-39-37-35/50-52-54-33-30
[14]	[10]	3/4/9	29-26-34/47-43-39-37/50-52-54-33-23-17-11-3-4
[14]	[11]	3/4/5	47-43-39/29-26-34-36/50-52-54-56-41
[14]	[12]	2/3/5	47-43/50-52-45/29-26-34-36-38
[14]	[13]	1/2/6	47/50-49/29-26-34-36-38-42
[14]	[14]	0/0/0	-/-/-
[14]	[15]	1/2/5	50/47-48/29-24-32-55-53
[14]	[16]	2/3/4	50-52/47-43-44/29-24-32-55
[14]	[17]	3/3/5	50-52-54/29-24-32/47-43-39-40-57
[14]	[18]	4/4/5	50-52-54-56/47-43-39-40/29-24-32-58-61
[14]	[19]	4/5/0	50-52-54-58/29-24-32-56-60/-
[15]	[0]	5/6/7	49-43-39-37-5/51-29-21-15-9-1/52-54-33-23-17-11-3
[15]	[1]	5/6/7	51-29-21-15-9/49-43-39-37-5-0/52-54-33-23-17-11-7
[15]	[2]	6/6/6	51-29-21-15-9-6/49-43-39-37-5-2/52-54-33-23-17-11
[15]	[3]	4/6/7	51-29-21-15/52-54-33-23-17-13/49-43-39-37-5-0-8
[15]	[4]	5/7/8	51-29-24-23-17/49-43-39-37-5-2-10/52-54-33-30-27-21-15-12
[15]	[5]	3/5/8	51-29-21/52-54-33-23-19/49-43-39-37-5-0-8-14
[15]	[6]	4/7/8	51-29-24-23/52-54-33-30-27-21-18/49-43-39-37-5-2-10-16
[15]	[7]	2/4/6	51-29/52-54-33-25/49-43-39-37-35-27
[15]	[8]	3/3/6	51-29-24/52-54-33/49-43-39-37-35-31
[15]	[9]	3/4/5	51-29-26/52-54-33-30/49-43-39-37-35
[15]	[10]	4/4/8	49-43-39-37/51-29-26-34/52-54-33-23-17-11-3-4
[15]	[11]	3/4/5	49-43-39/52-54-56-41/51-29-26-34-36
[15]	[12]	2/2/6	52-45/49-43/51-29-26-34-36-38
[15]	[13]	1/2/3	49/51-47/52-45-42
[15]	[14]	1/2/5	51/49-46/52-54-33-25-28
[15]	[15]	0/0/0	-/-/-
[15]	[16]	1/3/5	52/49-43-44/51-29-24-32-55
[15]	[17]	2/4/5	52-54/51-29-24-32/49-43-39-40-57
[15]	[18]	3/4/6	52-54-56/49-43-39-40/51-29-24-32-58-61
[15]	[19]	3/5/0	52-54-58/49-43-39-40-60/-
[16]	[0]	4/6/7	45-39-37-5/54-33-23-17-11-3/53-51-29-21-15-9-1
[16]	[1]	5/6/6	45-39-37-5-0/54-33-23-17-11-7/53-51-29-21-15-9
[16]	[2]	5/5/7	45-39-37-5-2/54-33-23-17-11/53-51-29-21-15-9-6
[16]	[3]	5/5/6	53-51-29-21-15/54-33-23-17-13/45-39-37-5-0-8
[16]	[4]	4/6/6	54-33-23-17/53-51-29-21-15-12/45-39-37-5-2-10
[16]	[5]	4/4/7	54-33-23-19/53-51-29-21/45-39-37-5-0-8-14
[16]	[6]	3/5/7	54-33-23/53-51-29-21-18/45-39-37-5-2-10-16
[16]	[7]	3/3/5	53-51-29/54-33-25/45-39-37-35-27
[16]	[8]	2/4/5	54-33/53-51-29-24/45-39-37-35-31
[16]	[9]	3/4/4	54-33-30/45-39-37-35/53-51-29-26
[16]	[10]	3/4/8	45-39-37/54-33-30-34/53-51-29-21-15-9-1-4
[16]	[11]	2/3/6	45-39/54-56-41/53-51-29-26-34-36
[16]	[12]	1/3/4	45/53-49-43/54-56-41-38
[16]	[13]	2/2/5	53-49/45-42/54-33-25-28-47
[16]	[14]	2/3/4	53-51/45-42-46/54-33-25-28
[16]	[15]	1/3/5	53/45-42-48/54-33-25-28-50
[16]	[16]	0/0/0	-/-/-
[16]	[17]	1/4/5	54/45-39-40-57/53-51-29-24-32
[16]	[18]	2/3/7	54-56/45-39-40/53-51-29-24-32-58-61
[16]	[19]	2/4/0	54-58/45-39-40-60/-
[17]	[0]	4/8/0	33-30-34-5/55-53-51-29-21-15-9-1/-
[17]	[1]	5/5/7	33-23-17-11-7/56-41-37-5-0/55-53-51-29-21-15-9
[17]	[2]	4/5/8	33-23-17-11/56-41-37-5-2/55-53-51-29-21-15-9-6
[17]	[3]	4/6/6	33-23-17-13/55-53-51-29-21-15/56-41-37-5-0-8
[17]	[4]	3/6/7	33-23-17/56-41-37-5-2-10/55-53-51-29-21-15-12
[17]	[5]	3/5/7	33-23-19/55-53-51-29-21/56-41-37-5-0-8-14
[17]	[6]	2/6/7	33-23/55-53-51-29-21-18/56-41-37-5-2-10-16
[17]	[7]	2/4/5	33-25/55-53-51-29/56-41-37-35-27
[17]	[8]	1/5/5	33/55-53-51-29-24/56-41-37-35-31
[17]	[9]	2/4/5	33-30/56-41-37-35/55-53-51-29-26
[17]	[10]	3/3/9	33-30-34/56-41-37/55-53-51-29-21-15-9-1-4
[17]	[11]	2/3/4	56-41/55-45-39/33-30-34-36
[17]	[12]	2/3/5	55-45/56-41-38/33-25-28-47-43
[17]	[13]	3/4/4	55-53-49/33-25-28-47/56-41-38-42
[17]	[14]	3/3/5	55-53-51/33-25-28/56-41-38-42-46
[17]	[15]	2/4/5	55-53/33-25-28-50/56-41-38-42-48
[17]	[16]	1/4/5	55/56-41-38-44/33-25-28-50-52
[17]	[17]	0/0/0	-/-/-
[17]	[18]	1/2/4	56/58-61/55-45-39-40
[17]	[19]	1/2/0	58/56-60/-
[18]	[0]	3/6/10	41-37-5/57-33-23-17-11-3/60-59-55-53-51-29-21-15-9-1
[18]	[1]	4/6/9	41-37-5-0/57-33-23-17-11-7/60-59-55-53-51-29-21-15-9
[18]	[2]	4/5/10	41-37-5-2/57-33-23-17-11/60-59-55-53-51-29-21-15-9-6
