Number of nodes: 11
Number of links: 50
==================================================
source	dest.	hops	path (link ids)
[7]	[2]	1/2/2	19/42-21/15-8
[7]	[3]	2/2/3	42-25/19-16/15-10-23
[7]	[4]	2/2/3	15-10/42-31/19-16-22
[7]	[5]	2/3/3	7-2/44-48-37/15-12-35
[7]	[6]	2/2/2	15-12/7-4/44-39
[7]	[7]	0/0/0	-/-/-
[7]	[8]	1/2/2	42/44-47/19-20
[7]	[9]	1/2/3	44/42-46/7-4-38
[7]	[10]	2/3/3	44-48/7-2-36/42-25-26
[8]	[0]	2/3/3	43-7/21-9-1/31-28-3
[8]	[1]	2/2/2	21-9/43-15/31-11
[8]	[2]	1/2/2	21/25-17/43-19
[8]	[3]	1/2/2	25/21-16/31-23
[8]	[4]	1/2/3	31/25-22/21-9-10
[8]	[5]	2/3/3	31-28/43-7-2/46-48-37
[8]	[6]	2/3/3	46-39/21-9-12/31-28-34
[8]	[7]	1/2/2	43/21-18/46-45
[8]	[8]	0/0/0	-/-/-
[8]	[9]	1/2/3	46/43-44/31-32-49
[8]	[10]	2/2/2	46-48/31-32/25-26
[9]	[0]	2/2/3	39-5/45-7/48-37-3
[9]	[1]	2/2/3	45-15/39-13/47-21-9
[9]	[2]	2/2/3	45-19/47-21/48-27-17
[9]	[3]	2/2/3	47-25/48-27/45-19-16
[9]	[4]	2/2/3	48-33/47-31/39-35-29
[9]	[5]	2/2/3	39-35/48-37/45-7-2
[9]	[6]	1/2/3	39/48-41/45-7-4
[9]	[7]	1/2/3	45/47-43/39-5-6
[9]	[8]	1/2/3	47/45-42/48-33-30
[9]	[9]	0/0/0	-/-/-
[9]	[10]	1/2/3	48/39-40/47-31-32
[10]	[0]	2/2/3	41-5/37-3/33-11-1
[10]	[1]	2/2/3	33-11/41-13/27-17-9
[10]	[2]	2/3/3	27-17/33-11-8/49-47-21
[10]	[3]	1/2/3	27/33-23/49-47-25
[10]	[4]	1/2/2	33/27-22/37-29
[10]	[5]	1/2/2	37/41-35/33-28
[10]	[6]	1/2/2	41/49-39/37-34
[10]	[7]	2/3/3	49-45/27-17-18/33-11-14
[10]	[8]	2/2/2	49-47/27-24/33-30
[10]	[9]	1/2/3	49/41-38/27-24-46
[10]	[10]	0/0/0	-/-/-
