Number of nodes: 20
Number of links: 78
==================================================
source	dest.	hops	path (link ids)
[3]	[6]	2/2/3	8-16/9-21/8-15-21
[3]	[7]	2/3/3	9-22/8-15-22/9-21-26
[3]	[8]	1/2/3	10/11-40/8-18-58
[3]	[9]	1/2/2	11/9-23/10-33
[3]	[10]	2/3/3	10-34/11-40-34/10-37-67
[3]	[11]	2/2/3	10-35/11-41/10-33-41
[3]	[12]	3/3/3	8-16-28/9-21-28/8-17-54
[3]	[13]	2/3/3	8-17/7-5-17/9-20-17
[3]	[14]	2/2/3	8-18/10-36/8-16-29
[3]	[15]	3/3/3	10-35-49/11-41-49/10-36-60
[3]	[16]	2/3/3	10-37/11-40-37/10-34-43
[3]	[17]	3/3/3	8-17-55/10-36-61/8-18-61
[3]	[18]	3/3/4	10-34-44/10-37-69/11-40-34-44
[3]	[19]	3/3/4	8-18-62/10-36-62/8-16-29-62
[4]	[0]	1/3/4	12/14-6-2/13-4-6-2
[4]	[1]	2/2/3	12-0/14-6/13-4-6
[4]	[2]	1/2/3	13/14-7/15-19-7
[4]	[3]	1/2/2	14/13-4/15-19
[4]	[4]	0/0/0	-/-/-
[4]	[5]	1/2/2	15/14-9/16-25
[4]	[6]	1/2/2	16/15-21/18-57
[4]	[7]	2/2/3	15-22/16-26/15-21-26
[4]	[8]	2/2/3	14-10/18-58/14-11-40
[4]	[9]	2/2/3	14-11/15-23/14-9-23
[4]	[10]	3/3/4	14-10-34/18-58-34/14-11-40-34
[4]	[11]	2/2/3	16-27/18-59/16-29-59
[4]	[12]	2/2/3	16-28/17-54/15-21-28
[4]	[13]	1/3/3	17/16-28-51/18-61-71
[4]	[14]	1/2/3	18/16-29/14-10-36
[4]	[15]	2/3/3	18-60/16-27-49/18-59-49
[4]	[16]	3/3/3	14-10-37/18-58-37/18-60-65
[4]	[17]	2/2/3	17-55/18-61/17-54-52
[4]	[18]	4/4/4	14-10-34-44/18-58-34-44/14-10-37-69
[4]	[19]	2/3/3	18-62/16-29-62/18-61-73
[5]	[0]	2/3/3	20-12/19-6-2/21-24-12
[5]	[1]	2/3/3	19-6/20-12-0/23-38-6
[5]	[2]	2/2/3	19-7/20-13/19-8-13
[5]	[3]	1/2/2	19/20-14/23-38
[5]	[4]	1/2/2	20/19-8/21-24
[5]	[5]	0/0/0	-/-/-
[5]	[6]	1/2/2	21/20-16/22-31
[5]	[7]	1/2/3	22/21-26/20-16-26
[5]	[8]	2/2/3	19-10/23-40/19-11-40
[5]	[9]	1/2/3	23/19-11/20-14-11
[5]	[10]	3/3/4	19-10-34/23-40-34/19-11-40-34
[5]	[11]	2/2/3	21-27/23-41/21-29-59
[5]	[12]	2/3/3	21-28/20-16-28/22-31-28
[5]	[13]	2/3/3	20-17/19-8-17/21-24-17
[5]	[14]	2/2/3	20-18/21-29/20-16-29
[5]	[15]	3/3/3	21-27-49/23-41-49/21-29-60
[5]	[16]	3/3/4	19-10-37/23-40-37/19-11-40-37
[5]	[17]	3/3/3	21-28-52/20-17-55/21-29-61
[5]	[18]	4/4/4	19-10-34-44/23-40-34-44/19-10-37-69
[5]	[19]	3/3/4	20-18-62/21-29-62/20-16-29-62
[6]	[0]	2/3/3	24-12/25-20-12/29-56-12
[6]	[1]	3/3/3	24-12-0/25-19-6/24-14-6
[6]	[2]	2/3/3	24-13/25-19-7/24-14-7
[6]	[3]	2/2/3	24-14/25-19/24-13-4
[6]	[4]	1/2/2	24/25-20/29-56
[6]	[5]	1/2/2	25/24-15/26-30
[6]	[6]	0/0/0	-/-/-
[6]	[7]	1/2/3	26/25-22/24-15-22
[6]	[8]	2/2/3	27-46/29-58/27-47-40
[6]	[9]	2/2/3	25-23/27-47/25-19-11
[6]	[10]	3/3/4	27-46-34/29-58-34/27-47-40-34
[6]	[11]	1/2/3	27/29-59/24-18-59
[6]	[12]	1/3/3	28/24-17-54/29-61-70
[6]	[13]	2/2/3	24-17/28-51/25-20-17
[6]	[14]	1/2/2	29/24-18/27-48
[6]	[15]	2/2/3	27-49/29-60/27-48-60
[6]	[16]	3/3/3	27-46-37/29-58-37/27-49-65
[6]	[17]	2/2/3	28-52/29-61/28-51-55
[6]	[18]	4/4/4	27-46-34-44/29-58-34-44/27-49-65-69
[6]	[19]	2/3/3	29-62/24-18-62/29-61-73
[7]	[0]	3/3/4	30-20-12/31-24-12/30-19-6-2
[7]	[1]	3/4/4	30-19-6/31-24-12-0/30-20-12-0
[7]	[2]	3/3/3	30-19-7/31-24-13/30-20-13
[7]	[3]	2/3/3	30-19/31-24-14/30-20-14
[7]	[4]	2/2/3	30-20/31-24/30-19-8
[7]	[5]	1/2/3	30/31-25/31-24-15
[7]	[6]	1/2/3	31/30-21/30-20-16
[7]	[7]	0/0/0	-/-/-
[7]	[8]	3/3/3	30-19-10/31-27-46/30-23-40
[7]	[9]	2/3/3	30-23/31-25-23/30-19-11
[7]	[10]	4/4/4	30-19-10-34/31-27-46-34/30-23-40-34
[7]	[11]	2/3/3	31-27/30-21-27/31-29-59
[7]	[12]	2/3/4	31-28/30-21-28/31-24-17-54
[7]	[13]	3/3/3	30-20-17/31-24-17/31-28-51
[7]	[14]	2/3/3	31-29/30-20-18/31-24-18
[7]	[15]	3/3/4	31-27-49/31-29-60/30-21-27-49
[7]	[16]	4/4/4	30-19-10-37/31-27-46-37/30-23-40-37
[7]	[17]	3/3/4	31-28-52/31-29-61/30-20-17-55
[7]	[18]	5/5/5	30-19-10-34-44/31-27-46-34-44/30-23-40-34-44
[7]	[19]	3/4/4	31-29-62/30-20-18-62/31-24-18-62
[8]	[0]	3/3/3	32-6-2/36-56-12/32-8-12
[8]	[1]	2/3/4	32-6/33-38-6/32-8-12-0
[8]	[2]	2/3/3	32-7/33-38-7/32-8-13
[8]	[3]	1/2/3	32/33-38/35-47-38
[8]	[4]	2/2/3	32-8/36-56/32-7-5
[8]	[5]	2/2/3	32-9/33-39/32-8-15
[8]	[6]	2/2/3	35-45/36-57/35-48-57
[8]	[7]	3/3/3	32-9-22/33-39-22/35-45-26
[8]	[8]	0/0/0	-/-/-
[8]	[9]	1/2/2	33/32-11/35-47
[8]	[10]	1/2/3	34/37-67/37-69-74
[8]	[11]	1/2/2	35/33-41/36-59
[8]	[12]	3/3/3	35-45-28/36-57-28/36-61-70
[8]	[13]	3/3/3	32-8-17/36-56-17/36-61-71
[8]	[14]	1/2/3	36/35-48/32-8-18
[8]	[15]	2/2/2	35-49/36-60/37-68
[8]	[16]	1/2/3	37/34-43/35-49-65
[8]	[17]	2/3/3	36-61/35-48-61/36-62-77
[8]	[18]	2/2/3	34-44/37-69/34-43-69
[8]	[19]	2/3/3	36-62/35-48-62/36-61-73
[9]	[0]	3/3/3	38-6-2/39-20-12/38-8-12
[9]	[1]	2/3/3	38-6/39-19-6/40-32-6
[9]	[2]	2/3/3	38-7/39-19-7/38-8-13
[9]	[3]	1/2/2	38/39-19/40-32
[9]	[4]	2/2/3	38-8/39-20/38-7-5
[9]	[5]	1/2/3	39/38-9/40-32-9
[9]	[6]	2/2/3	39-21/41-45/39-20-16
[9]	[7]	2/3/3	39-22/38-9-22/39-21-26
[9]	[8]	1/2/2	40/38-10/41-46
[9]	[9]	0/0/0	-/-/-
[9]	[10]	2/3/3	40-34/38-10-34/40-37-67
[9]	[11]	1/2/3	41/40-35/38-10-35
[9]	[12]	3/3/4	39-21-28/41-45-28/39-20-16-28
[9]	[13]	3/3/4	38-8-17/39-20-17/38-7-5-17
[9]	[14]	2/2/3	40-36/41-48/40-35-48
[9]	[15]	2/3/3	41-49/40-35-49/41-48-60
[9]	[16]	2/3/3	40-37/38-10-37/40-34-43
[9]	[17]	3/3/4	40-36-61/41-48-61/40-35-48-61
[9]	[18]	3/3/4	40-34-44/40-37-69/38-10-34-44
[9]	[19]	3/3/4	40-36-62/41-48-62/40-35-48-62
[10]	[0]	4/4/4	42-32-6-2/42-36-56-12/42-32-8-12
[10]	[1]	3/4/4	42-32-6/43-66-32-6/42-33-38-6
[10]	[2]	3/4/4	42-32-7/43-66-32-7/42-33-38-7
[10]	[3]	2/3/3	42-32/43-66-32/42-33-38
[10]	[4]	3/3/4	42-32-8/42-36-56/43-66-32-8
[10]	[5]	3/3/4	42-32-9/42-33-39/43-66-32-9
[10]	[6]	3/3/4	42-35-45/42-36-57/43-66-35-45
[10]	[7]	4/4/4	42-32-9-22/42-33-39-22/42-35-45-26
[10]	[8]	1/2/3	42/43-66/44-75-66
[10]	[9]	2/3/3	42-33/43-66-33/42-32-11
[10]	[10]	0/0/0	-/-/-
[10]	[11]	2/3/3	42-35/43-66-35/42-33-41
[10]	[12]	4/4/4	42-35-45-28/42-36-57-28/42-36-61-70
[10]	[13]	4/4/4	42-32-8-17/42-36-56-17/42-36-61-71
[10]	[14]	2/3/3	42-36/43-66-36/42-35-48
[10]	[15]	2/3/3	43-68/42-35-49/44-75-68
[10]	[16]	1/2/2	43/42-37/44-75
[10]	[17]	3/4/4	42-36-61/43-66-36-61/42-35-48-61
[10]	[18]	1/2/3	44/43-69/42-37-69
[10]	[19]	3/4/4	42-36-62/43-66-36-62/42-35-48-62
[11]	[0]	3/3/4	45-24-12/48-56-12/45-25-20-12
[11]	[1]	3/3/4	46-32-6/47-38-6/46-33-38-6
[11]	[2]	3/3/3	46-32-7/47-38-7/45-24-13
[11]	[3]	2/2/3	46-32/47-38/46-33-38
[11]	[4]	2/2/3	45-24/48-56/45-25-20
[11]	[5]	2/2/3	45-25/47-39/45-24-15
[11]	[6]	1/2/3	45/48-57/46-36-57
[11]	[7]	2/3/3	45-26/47-39-22/45-25-22
[11]	[8]	1/2/2	46/47-40/48-58
[11]	[9]	1/2/3	47/46-33/45-25-23
[11]	[10]	2/3/3	46-34/47-40-34/46-37-67
[11]	[11]	0/0/0	-/-/-
[11]	[12]	2/3/3	45-28/48-57-28/48-61-70
[11]	[13]	3/3/3	45-24-17/48-56-17/45-28-51
[11]	[14]	1/2/2	48/45-29/46-36
[11]	[15]	1/2/3	49/48-60/45-29-60
[11]	[16]	2/2/3	46-37/49-65/46-34-43
[11]	[17]	2/3/3	48-61/45-28-52/48-62-77
[11]	[18]	3/3/3	46-34-44/49-65-69/46-37-69
[11]	[19]	2/3/3	48-62/45-29-62/48-61-73
[12]	[0]	3/3/4	50-24-12/51-53-12/50-25-20-12
[12]	[1]	4/4/4	50-24-12-0/51-53-12-0/50-25-19-6
[12]	[2]	3/3/4	50-24-13/51-53-13/50-25-19-7
[12]	[3]	3/3/3	50-24-14/51-53-14/50-25-19
[12]	[4]	2/2/3	50-24/51-53/50-25-20
[12]	[5]	2/3/3	50-25/51-53-15/50-24-15
[12]	[6]	1/3/3	50/51-53-16/52-72-57
[12]	[7]	2/3/4	50-26/50-25-22/51-53-15-22
[12]	[8]	3/3/3	50-27-46/52-72-58/50-29-58
[12]	[9]	3/3/4	50-25-23/50-27-47/51-53-14-11
[12]	[10]	4/4/4	50-27-46-34/52-72-58-34/50-29-58-34
[12]	[11]	2/3/3	50-27/52-72-59/50-29-59
[12]	[12]	0/0/0	-/-/-
[12]	[13]	1/2/3	51/52-71/50-24-17
[12]	[14]	2/2/3	50-29/52-72/50-24-18
[12]	[15]	3/3/3	50-27-49/52-72-60/50-29-60
[12]	[16]	4/4/4	50-27-46-37/52-72-58-37/50-29-58-37
[12]	[17]	1/2/3	52/51-55/50-29-61
[12]	[18]	5/5/5	50-27-46-34-44/52-72-58-34-44/50-29-58-34-44
[12]	[19]	2/3/3	52-73/50-29-62/52-72-62
[13]	[0]	2/4/4	53-12/54-50-24-12/53-14-6-2
[13]	[1]	3/3/4	53-12-0/53-14-6/53-13-4-6
[13]	[2]	2/3/4	53-13/53-14-7/54-50-24-13
[13]	[3]	2/3/3	53-14/53-13-4/53-15-19
[13]	[4]	1/3/3	53/54-50-24/55-72-56
[13]	[5]	2/3/3	53-15/54-50-25/53-14-9
[13]	[6]	2/2/3	53-16/54-50/53-15-21
[13]	[7]	3/3/3	53-15-22/54-50-26/53-16-26
[13]	[8]	3/3/3	53-14-10/55-72-58/53-18-58
[13]	[9]	3/3/4	53-14-11/53-15-23/54-50-25-23
[13]	[10]	4/4/4	53-14-10-34/55-72-58-34/53-18-58-34
[13]	[11]	3/3/3	53-16-27/54-50-27/53-18-59
[13]	[12]	1/2/3	54/55-70/53-16-28
[13]	[13]	0/0/0	-/-/-
[13]	[14]	2/2/3	53-18/55-72/53-16-29
[13]	[15]	3/3/4	53-18-60/55-72-60/53-16-27-49
[13]	[16]	4/4/4	53-14-10-37/55-72-58-37/53-18-58-37
[13]	[17]	1/2/3	55/54-52/53-18-61
[13]	[18]	5/5/5	53-14-10-34-44/55-72-58-34-44/53-18-58-34-44
[13]	[19]	2/3/3	55-73/53-18-62/55-72-62
[14]	[0]	2/3/4	56-12/57-24-12/56-14-6-2
[14]	[1]	3/3/3	56-12-0/58-32-6/56-14-6
[14]	[2]	2/3/3	56-13/58-32-7/56-14-7
[14]	[3]	2/2/3	56-14/58-32/56-13-4
[14]	[4]	1/2/3	56/57-24/58-32-8
[14]	[5]	2/2/3	56-15/57-25/56-14-9
[14]	[6]	1/2/2	57/56-16/59-45
[14]	[7]	2/3/3	57-26/56-15-22/57-25-22
[14]	[8]	1/2/3	58/59-46/56-14-10
[14]	[9]	2/2/3	58-33/59-47/58-32-11
[14]	[10]	2/3/3	58-34/59-46-34/58-37-67
[14]	[11]	1/2/2	59/57-27/58-35
[14]	[12]	2/2/3	57-28/61-70/56-16-28
[14]	[13]	2/2/3	56-17/61-71/57-24-17
[14]	[14]	0/0/0	-/-/-
[14]	[15]	1/2/3	60/59-49/57-27-49
[14]	[16]	2/2/3	58-37/60-65/58-34-43
[14]	[17]	1/2/3	61/62-77/57-28-52
[14]	[18]	3/3/3	58-34-44/60-65-69/58-37-69
[14]	[19]	1/2/4	62/61-73/57-28-52-73
[15]	[0]	3/4/4	64-56-12/63-45-24-12/64-57-24-12
[15]	[1]	4/4/4	63-46-32-6/64-56-12-0/63-47-38-6
[15]	[2]	3/4/4	64-56-13/63-46-32-7/64-58-32-7
[15]	[3]	3/3/3	63-46-32/64-56-14/63-47-38
[15]	[4]	2/3/3	64-56/63-45-24/64-57-24
[15]	[5]	3/3/3	63-45-25/64-56-15/63-47-39
[15]	[6]	2/2/3	63-45/64-57/63-48-57
[15]	[7]	3/3/4	63-45-26/64-57-26/63-47-39-22
[15]	[8]	2/2/2	63-46/64-58/65-66
[15]	[9]	2/3/3	63-47/64-58-33/63-46-33
[15]	[10]	2/3/3	65-67/63-46-34/65-66-34
[15]	[11]	1/2/3	63/64-59/65-66-35
[15]	[12]	3/3/3	63-45-28/64-57-28/64-61-70
[15]	[13]	3/3/4	64-56-17/64-61-71/63-45-24-17
[15]	[14]	1/2/3	64/63-48/65-66-36
[15]	[15]	0/0/0	-/-/-
[15]	[16]	1/3/3	65/63-46-37/64-58-37
[15]	[17]	2/3/3	64-61/63-48-61/64-62-77
[15]	[18]	2/3/4	65-69/65-67-44/63-46-34-44
[15]	[19]	2/3/3	64-62/63-48-62/64-61-73
[16]	[0]	4/4/4	66-32-6-2/68-64-56-12/66-36-56-12
[16]	[1]	3/4/4	66-32-6/67-42-32-6/66-33-38-6
[16]	[2]	3/4/4	66-32-7/67-42-32-7/66-33-38-7
[16]	[3]	2/3/3	66-32/67-42-32/66-33-38
[16]	[4]	3/3/3	66-32-8/68-64-56/66-36-56
[16]	[5]	3/3/4	66-32-9/66-33-39/67-42-32-9
[16]	[6]	3/3/3	66-35-45/68-63-45/66-36-57
[16]	[7]	4/4/4	66-32-9-22/68-63-45-26/66-33-39-22
[16]	[8]	1/2/3	66/67-42/68-63-46
[16]	[9]	2/3/3	66-33/67-42-33/66-32-11
[16]	[10]	1/2/2	67/66-34/69-74
[16]	[11]	2/2/3	66-35/68-63/66-33-41
[16]	[12]	4/4/4	66-35-45-28/68-63-45-28/66-36-57-28
[16]	[13]	4/4/4	66-32-8-17/68-64-56-17/66-36-56-17
[16]	[14]	2/2/3	66-36/68-64/66-35-48
[16]	[15]	1/3/3	68/66-35-49/66-36-60
[16]	[16]	0/0/0	-/-/-
[16]	[17]	3/3/4	66-36-61/68-64-61/66-35-48-61
[16]	[18]	1/2/3	69/67-44/66-34-44
[16]	[19]	3/3/4	66-36-62/68-64-62/66-35-48-62
[17]	[0]	3/3/4	71-53-12/72-56-12/70-50-24-12
[17]	[1]	4/4/4	71-53-12-0/72-56-12-0/71-53-14-6
[17]	[2]	3/3/4	71-53-13/72-56-13/71-53-14-7
[17]	[3]	3/3/3	71-53-14/72-56-14/72-58-32
[17]	[4]	2/2/3	71-53/72-56/70-50-24
[17]	[5]	3/3/3	70-50-25/71-53-15/72-56-15
[17]	[6]	2/2/3	70-50/72-57/71-53-16
[17]	[7]	3/3/4	70-50-26/72-57-26/70-50-25-22
[17]	[8]	2/3/3	72-58/73-76-58/72-59-46
[17]	[9]	3/3/4	72-58-33/72-59-47/70-50-25-23
[17]	[10]	3/4/4	72-58-34/73-76-58-34/72-59-46-34
[17]	[11]	2/3/3	72-59/70-50-27/72-57-27
[17]	[12]	1/2/3	70/71-54/72-57-28
[17]	[13]	1/2/3	71/70-51/72-56-17
[17]	[14]	1/2/3	72/73-76/70-50-29
[17]	[15]	2/3/3	72-60/73-76-60/72-59-49
[17]	[16]	3/3/4	72-58-37/72-60-65/73-76-58-37
[17]	[17]	0/0/0	-/-/-
[17]	[18]	4/4/4	72-58-34-44/72-60-65-69/72-58-37-69
[17]	[19]	1/2/4	73/72-62/70-50-29-62
[18]	[0]	5/5/5	74-42-32-6-2/75-66-32-6-2/74-42-36-56-12
[18]	[1]	4/4/5	74-42-32-6/75-66-32-6/74-43-66-32-6
[18]	[2]	4/4/5	74-42-32-7/75-66-32-7/74-43-66-32-7
[18]	[3]	3/3/4	74-42-32/75-66-32/74-43-66-32
[18]	[4]	4/4/4	74-42-32-8/75-66-32-8/74-42-36-56
[18]	[5]	4/4/4	74-42-32-9/75-66-32-9/74-42-33-39
[18]	[6]	4/4/4	74-42-35-45/75-66-35-45/74-42-36-57
[18]	[7]	5/5/5	74-42-32-9-22/75-66-32-9-22/74-42-33-39-22
[18]	[8]	2/2/3	74-42/75-66/74-43-66
[18]	[9]	3/3/4	74-42-33/75-66-33/74-43-66-33
[18]	[10]	1/2/3	74/75-67/75-66-34
[18]	[11]	3/3/3	74-42-35/75-66-35/75-68-63
[18]	[12]	5/5/5	74-42-35-45-28/75-66-35-45-28/74-42-36-57-28
[18]	[13]	5/5/5	74-42-32-8-17/75-66-32-8-17/74-42-36-56-17
[18]	[14]	3/3/3	74-42-36/75-66-36/75-68-64
[18]	[15]	2/3/4	75-68/74-43-68/75-66-35-49
[18]	[16]	1/2/3	75/74-43/74-42-37
[18]	[17]	4/4/4	74-42-36-61/75-66-36-61/75-68-64-61
[18]	[18]	0/0/0	-/-/-
[18]	[19]	4/4/4	74-42-36-62/75-66-36-62/75-68-64-62
[19]	[0]	3/4/4	76-56-12/77-71-53-12/76-57-24-12
[19]	[1]	4/4/4	76-56-12-0/76-58-32-6/76-56-14-6
[19]	[2]	3/4/4	76-56-13/77-71-53-13/76-58-32-7
[19]	[3]	3/3/4	76-56-14/76-58-32/77-71-53-14
[19]	[4]	2/3/3	76-56/77-71-53/76-57-24
[19]	[5]	3/3/4	76-56-15/76-57-25/77-70-50-25
[19]	[6]	2/3/3	76-57/77-70-50/76-56-16
[19]	[7]	3/4/4	76-57-26/77-70-50-26/76-56-15-22
[19]	[8]	2/3/3	76-58/77-72-58/76-59-46
[19]	[9]	3/3/4	76-58-33/76-59-47/77-72-58-33
[19]	[10]	3/4/4	76-58-34/77-72-58-34/76-59-46-34
[19]	[11]	2/3/3	76-59/77-72-59/76-57-27
[19]	[12]	2/3/3	77-70/76-57-28/77-71-54
[19]	[13]	2/3/3	77-71/76-56-17/77-70-51
[19]	[14]	1/2/4	76/77-72/77-70-50-29
[19]	[15]	2/3/3	76-60/77-72-60/76-59-49
[19]	[16]	3/3/4	76-58-37/76-60-65/77-72-58-37
[19]	[17]	1/2/4	77/76-61/76-57-28-52
[19]	[18]	4/4/4	76-58-34-44/76-60-65-69/76-58-37-69
[19]	[19]	0/0/0	-/-/-
