Number of nodes: 21
Number of links: 78
==================================================
source	dest.	hops	path (link ids)
[3]	[5]	1/2/2	16/14-3/15-20
[3]	[6]	1/3/3	17/14-4-30/16-24-30
[3]	[7]	2/2/2	14-4/16-24/17-26
[3]	[8]	2/3/3	17-27/14-4-31/17-26-31
[3]	[9]	3/3/3	14-4-32/16-24-32/14-5-53
[3]	[10]	3/4/4	17-27-35/14-4-31-35/17-26-31-35
[3]	[11]	4/5/5	17-27-35-46/14-4-31-35-46/17-26-31-35-46
[3]	[12]	4/4/4	14-4-32-42/16-24-32-42/14-5-53-42
[3]	[13]	2/3/4	14-5/16-21-5/14-4-32-43
[3]	[14]	3/3/4	17-27-36/14-5-54/17-26-31-36
[3]	[15]	3/4/4	17-27-37/14-4-31-37/17-26-31-37
[3]	[16]	4/4/4	17-27-36-58/14-5-54-58/17-27-37-60
[3]	[17]	4/5/5	17-27-37-61/14-4-31-37-61/17-26-31-37-61
[3]	[18]	1/3/3	18/14-0-9/14-1-12
[3]	[19]	2/3/3	14-6/16-21-6/14-1-13
[3]	[20]	3/3/4	17-27-39/14-6-74/17-26-31-39
[4]	[0]	2/2/3	19-14/20-21/19-16-21
[4]	[1]	3/3/3	19-14-0/20-21-0/19-18-68
[4]	[2]	3/3/3	19-14-1/20-21-1/19-18-69
[4]	[3]	1/2/3	19/20-22/20-21-2
[4]	[4]	0/0/0	-/-/-
[4]	[5]	1/2/3	20/19-16/19-14-3
[4]	[6]	2/3/3	19-17/20-22-17/20-24-30
[4]	[7]	2/3/3	20-24/19-14-4/20-21-4
[4]	[8]	3/3/4	19-17-27/20-24-31/19-14-4-31
[4]	[9]	3/4/4	20-24-32/19-14-4-32/20-21-4-32
[4]	[10]	4/4/4	19-17-27-35/20-24-31-35/20-24-32-41
[4]	[11]	5/5/5	19-17-27-35-46/20-24-31-35-46/20-24-32-41-46
[4]	[12]	4/5/5	20-24-32-42/19-14-4-32-42/20-21-4-32-42
[4]	[13]	3/3/4	19-14-5/20-21-5/19-16-21-5
[4]	[14]	4/4/4	19-14-5-54/20-21-5-54/19-17-27-36
[4]	[15]	4/4/5	19-17-27-37/20-24-31-37/19-14-4-31-37
[4]	[16]	5/5/5	19-14-5-54-58/20-24-31-36-58/19-17-27-36-58
[4]	[17]	5/5/6	19-17-27-37-61/20-24-31-37-61/19-14-4-31-37-61
[4]	[18]	2/3/4	19-18/20-22-18/19-14-0-9
[4]	[19]	3/3/4	19-14-6/20-21-6/19-16-21-6
[4]	[20]	4/4/4	19-17-27-39/20-21-6-74/19-14-6-74
[5]	[0]	1/2/2	21/22-14/24-28
[5]	[1]	2/3/3	21-0/22-14-0/21-1-11
[5]	[2]	2/3/3	21-1/22-14-1/21-0-8
[5]	[3]	1/2/2	22/21-2/23-19
[5]	[4]	1/2/3	23/22-15/21-2-15
[5]	[5]	0/0/0	-/-/-
[5]	[6]	2/2/3	22-17/24-30/21-2-17
[5]	[7]	1/2/3	24/21-4/22-14-4
[5]	[8]	2/3/3	24-31/21-4-31/24-30-27
[5]	[9]	2/3/3	24-32/21-4-32/21-5-53
[5]	[10]	3/3/4	24-31-35/24-32-41/22-17-27-35
[5]	[11]	4/4/4	24-31-35-46/24-32-41-46/24-32-42-50
[5]	[12]	3/4/4	24-32-42/21-4-32-42/24-31-36-56
[5]	[13]	2/3/3	21-5/22-14-5/24-28-5
[5]	[14]	3/3/4	21-5-54/24-31-36/21-4-31-36
[5]	[15]	3/4/4	24-31-37/22-17-27-37/24-30-27-37
[5]	[16]	4/4/4	21-5-54-58/24-31-36-58/24-31-37-60
[5]	[17]	4/5/5	24-31-37-61/22-17-27-37-61/24-30-27-37-61
[5]	[18]	2/3/3	22-18/21-0-9/23-19-18
[5]	[19]	2/3/3	21-6/22-14-6/21-1-13
[5]	[20]	3/3/4	24-31-39/21-6-74/24-28-6-74
[6]	[0]	2/2/3	25-14/26-28/25-16-21
[6]	[1]	3/3/3	25-14-0/26-28-0/25-18-68
[6]	[2]	3/3/3	25-14-1/26-28-1/25-18-69
[6]	[3]	1/3/3	25/26-28-2/26-29-22
[6]	[4]	2/3/3	25-15/26-29-23/25-16-23
[6]	[5]	2/2/3	25-16/26-29/25-14-3
[6]	[6]	0/0/0	-/-/-
[6]	[7]	1/2/3	26/27-34/25-14-4
[6]	[8]	1/2/4	27/26-31/25-14-4-31
[6]	[9]	2/3/3	26-32/27-34-32/27-35-45
[6]	[10]	2/3/3	27-35/26-31-35/26-32-41
[6]	[11]	3/4/4	27-35-46/26-31-35-46/27-36-56-50
[6]	[12]	3/3/4	26-32-42/27-36-56/26-31-36-56
[6]	[13]	3/3/3	25-14-5/26-28-5/27-36-57
[6]	[14]	2/3/4	27-36/26-31-36/27-37-60-63
[6]	[15]	2/3/3	27-37/26-31-37/27-39-76
[6]	[16]	3/3/4	27-36-58/27-37-60/26-31-36-58
[6]	[17]	3/4/4	27-37-61/26-31-37-61/27-39-76-61
[6]	[18]	2/4/4	25-18/26-28-0-9/25-14-0-9
[6]	[19]	2/3/3	27-38/25-14-6/27-39-77
[6]	[20]	2/3/3	27-39/26-31-39/27-37-62
[7]	[0]	1/2/3	28/29-21/30-25-14
[7]	[1]	2/3/3	28-0/29-21-0/28-1-11
[7]	[2]	2/3/3	28-1/29-21-1/28-0-8
[7]	[3]	2/2/2	28-2/29-22/30-25
[7]	[4]	2/3/3	29-23/28-2-15/29-22-15
[7]	[5]	1/2/3	29/28-3/30-25-16
[7]	[6]	1/2/3	30/31-33/28-2-17
[7]	[7]	0/0/0	-/-/-
[7]	[8]	1/2/3	31/30-27/28-6-73
[7]	[9]	1/3/3	32/31-35-45/28-5-53
[7]	[10]	2/2/3	31-35/32-41/30-27-35
[7]	[11]	3/3/3	31-35-46/32-41-46/32-42-50
[7]	[12]	2/3/4	32-42/31-36-56/32-41-46-48
[7]	[13]	2/2/3	28-5/32-43/29-21-5
[7]	[14]	2/3/3	31-36/28-5-54/30-27-36
[7]	[15]	2/3/3	31-37/30-27-37/31-39-76
[7]	[16]	3/3/4	31-36-58/31-37-60/28-5-54-58
[7]	[17]	3/4/4	31-37-61/30-27-37-61/31-39-76-61
[7]	[18]	3/3/3	28-0-9/29-22-18/28-1-12
[7]	[19]	2/2/3	28-6/31-38/28-1-13
[7]	[20]	2/3/3	31-39/30-27-39/31-37-62
[8]	[0]	2/2/3	34-28/38-71/34-29-21
[8]	[1]	3/3/3	34-28-0/38-71-0/38-72-11
[8]	[2]	2/3/3	38-72/34-28-1/38-71-1
[8]	[3]	2/3/3	33-25/34-28-2/38-71-2
[8]	[4]	3/3/4	33-25-15/34-29-23/33-26-29-23
[8]	[5]	2/3/3	34-29/38-71-3/34-28-3
[8]	[6]	1/2/4	33/34-30/35-45-40-30
[8]	[7]	1/2/3	34/33-26/38-71-4
[8]	[8]	0/0/0	-/-/-
[8]	[9]	2/2/3	34-32/35-45/33-26-32
[8]	[10]	1/3/4	35/34-32-41/33-26-32-41
[8]	[11]	2/3/4	35-46/36-56-50/35-45-42-50
[8]	[12]	2/3/3	36-56/34-32-42/35-45-42
[8]	[13]	2/3/3	36-57/34-28-5/38-71-5
[8]	[14]	1/3/4	36/37-60-63/34-28-5-54
[8]	[15]	1/2/3	37/39-76/36-58-64
[8]	[16]	2/2/3	36-58/37-60/39-76-60
[8]	[17]	2/3/3	37-61/39-76-61/37-60-65
[8]	[18]	3/3/4	38-72-12/33-25-18/38-71-0-9
[8]	[19]	1/2/3	38/39-77/34-28-6
[8]	[20]	1/2/2	39/37-62/38-74
[9]	[0]	2/2/3	40-28/43-52/40-29-21
[9]	[1]	3/3/4	40-28-0/43-52-0/40-29-21-0
[9]	[2]	3/3/4	40-28-1/43-52-1/40-29-21-1
[9]	[3]	3/3/3	40-28-2/43-52-2/40-29-22
[9]	[4]	3/4/4	40-29-23/43-52-2-15/40-28-2-15
[9]	[5]	2/3/3	40-29/43-52-3/40-28-3
[9]	[6]	2/3/3	40-30/41-44-33/40-31-33
[9]	[7]	1/3/3	40/41-44-34/43-52-4
[9]	[8]	2/2/3	40-31/41-44/40-30-27
[9]	[9]	0/0/0	-/-/-
[9]	[10]	1/3/3	41/40-31-35/42-50-47
[9]	[11]	2/2/4	41-46/42-50/40-31-35-46
[9]	[12]	1/3/3	42/41-46-48/43-54-56
[9]	[13]	1/3/3	43/40-28-5/42-51-57
[9]	[14]	2/2/3	42-51/43-54/40-31-36
[9]	[15]	3/3/4	40-31-37/41-44-37/40-30-27-37
[9]	[16]	3/3/4	42-51-58/43-54-58/40-31-36-58
[9]	[17]	4/4/4	40-31-37-61/41-44-37-61/42-51-58-65
[9]	[18]	4/4/4	40-28-0-9/43-52-0-9/40-29-22-18
[9]	[19]	3/3/3	40-28-6/41-44-38/40-31-38
[9]	[20]	3/3/4	40-31-39/41-44-39/40-28-6-74
[10]	[0]	3/3/3	44-34-28/45-40-28/44-38-71
[10]	[1]	4/4/4	44-34-28-0/45-40-28-0/44-38-71-0
[10]	[2]	3/4/4	44-38-72/45-40-28-1/44-34-28-1
[10]	[3]	3/4/4	44-33-25/45-40-28-2/44-34-28-2
[10]	[4]	4/4/4	44-33-25-15/45-40-29-23/44-34-29-23
[10]	[5]	3/3/4	44-34-29/45-40-29/44-38-71-3
[10]	[6]	2/3/3	44-33/45-40-30/44-34-30
[10]	[7]	2/2/3	44-34/45-40/44-33-26
[10]	[8]	1/3/4	44/45-40-31/46-48-51-55
[10]	[9]	1/3/3	45/44-34-32/46-48-49
[10]	[10]	0/0/0	-/-/-
[10]	[11]	1/3/4	46/45-42-50/44-36-56-50
[10]	[12]	2/2/3	45-42/46-48/44-36-56
[10]	[13]	2/3/4	45-43/44-36-57/45-40-28-5
[10]	[14]	2/3/3	44-36/45-42-51/46-48-51
[10]	[15]	2/3/4	44-37/44-39-76/45-40-31-37
[10]	[16]	3/3/4	44-36-58/44-37-60/45-42-51-58
[10]	[17]	3/4/4	44-37-61/44-39-76-61/44-37-60-65
[10]	[18]	4/4/5	44-38-72-12/44-33-25-18/45-40-28-0-9
[10]	[19]	2/3/4	44-38/44-39-77/45-40-28-6
[10]	[20]	2/3/3	44-39/44-37-62/44-38-74
[11]	[0]	4/4/4	47-44-34-28/48-49-40-28/47-45-40-28
[11]	[1]	5/5/5	47-44-34-28-0/48-49-40-28-0/47-45-40-28-0
[11]	[2]	4/5/5	47-44-38-72/48-49-40-28-1/47-45-40-28-1
[11]	[3]	4/5/5	47-44-33-25/48-49-40-28-2/47-45-40-28-2
[11]	[4]	5/5/5	47-44-33-25-15/48-49-40-29-23/47-45-40-29-23
[11]	[5]	4/4/4	47-44-34-29/48-49-40-29/47-45-40-29
[11]	[6]	3/4/4	47-44-33/48-49-40-30/47-45-40-30
[11]	[7]	3/3/3	47-44-34/48-49-40/47-45-40
[11]	[8]	2/3/4	47-44/48-51-55/47-45-40-31
[11]	[9]	2/2/4	47-45/48-49/47-44-34-32
[11]	[10]	1/3/4	47/48-49-41/48-51-55-35
[11]	[11]	0/0/0	-/-/-
[11]	[12]	1/3/4	48/47-45-42/47-44-36-56
[11]	[13]	3/3/3	47-45-43/48-49-43/48-51-57
[11]	[14]	2/3/4	48-51/47-44-36/48-49-43-54
[11]	[15]	3/4/4	47-44-37/48-51-55-37/47-44-39-76
[11]	[16]	3/4/4	48-51-58/47-44-36-58/47-44-37-60
[11]	[17]	4/4/5	47-44-37-61/48-51-58-65/47-44-39-76-61
[11]	[18]	5/5/6	47-44-38-72-12/47-44-33-25-18/48-49-40-28-0-9
[11]	[19]	3/4/4	47-44-38/48-51-55-38/47-44-39-77
[11]	[20]	3/4/4	47-44-39/48-51-55-39/47-44-37-62
[12]	[0]	3/3/3	49-40-28/51-57-52/49-43-52
[12]	[1]	4/4/4	49-40-28-0/51-57-52-0/49-43-52-0
[12]	[2]	4/4/4	49-40-28-1/51-55-38-72/49-43-52-1
[12]	[3]	4/4/4	49-40-28-2/51-55-33-25/49-43-52-2
[12]	[4]	4/5/5	49-40-29-23/51-55-33-25-15/49-43-52-2-15
[12]	[5]	3/4/4	49-40-29/51-55-34-29/49-43-52-3
[12]	[6]	3/3/4	49-40-30/51-55-33/49-41-44-33
[12]	[7]	2/3/4	49-40/51-55-34/49-41-44-34
[12]	[8]	2/3/3	51-55/49-40-31/50-47-44
[12]	[9]	1/3/3	49/50-47-45/51-57-53
[12]	[10]	2/2/3	49-41/50-47/51-55-35
[12]	[11]	1/3/4	50/49-41-46/51-55-35-46
[12]	[12]	0/0/0	-/-/-
[12]	[13]	2/2/4	49-43/51-57/49-40-28-5
[12]	[14]	1/3/4	51/49-43-54/50-47-44-36
[12]	[15]	3/3/4	51-55-37/51-58-64/49-40-31-37
[12]	[16]	2/4/4	51-58/49-43-54-58/51-55-37-60
[12]	[17]	3/4/4	51-58-65/51-55-37-61/51-58-64-61
[12]	[18]	5/5/5	49-40-28-0-9/51-55-33-25-18/49-43-52-0-9
[12]	[19]	3/4/4	51-55-38/49-40-28-6/51-57-52-6
[12]	[20]	3/4/4	51-55-39/49-40-31-39/51-58-64-62
[13]	[0]	1/3/4	52/53-40-28/54-55-34-28
[13]	[1]	2/3/4	52-0/52-1-11/53-40-28-0
[13]	[2]	2/3/3	52-1/52-0-8/52-6-72
[13]	[3]	2/3/4	52-2/52-3-22/53-40-28-2
[13]	[4]	3/3/4	52-2-15/52-3-23/53-40-29-23
[13]	[5]	2/3/3	52-3/53-40-29/52-2-16
[13]	[6]	3/3/3	52-2-17/53-40-30/52-4-30
[13]	[7]	2/2/3	52-4/53-40/52-3-24
[13]	[8]	2/3/3	54-55/52-4-31/53-40-31
[13]	[9]	1/3/3	53/52-4-32/54-56-49
[13]	[10]	2/3/4	53-41/54-55-35/53-40-31-35
[13]	[11]	3/3/3	53-41-46/54-56-50/53-42-50
[13]	[12]	2/2/4	53-42/54-56/53-41-46-48
[13]	[13]	0/0/0	-/-/-
[13]	[14]	1/3/4	54/53-42-51/52-4-31-36
[13]	[15]	3/3/4	54-55-37/54-58-64/52-4-31-37
[13]	[16]	2/4/4	54-58/53-42-51-58/54-55-37-60
[13]	[17]	3/4/4	54-58-65/54-55-37-61/54-58-64-61
[13]	[18]	3/3/3	52-0-9/52-1-12/52-2-18
[13]	[19]	2/3/3	52-6/54-55-38/52-1-13
[13]	[20]	3/3/4	52-6-74/54-55-39/52-4-31-39
[14]	[0]	2/3/3	57-52/55-34-28/55-38-71
[14]	[1]	3/4/4	57-52-0/55-34-28-0/57-52-1-11
[14]	[2]	3/3/4	55-38-72/57-52-1/55-34-28-1
[14]	[3]	3/3/4	55-33-25/57-52-2/55-34-28-2
[14]	[4]	4/4/4	55-33-25-15/57-52-2-15/55-34-29-23
[14]	[5]	3/3/4	55-34-29/57-52-3/55-38-71-3
[14]	[6]	2/3/4	55-33/55-34-30/57-52-2-17
[14]	[7]	2/3/3	55-34/56-49-40/55-33-26
[14]	[8]	1/3/4	55/58-64-59/56-49-40-31
[14]	[9]	2/2/3	56-49/57-53/55-34-32
[14]	[10]	2/3/3	55-35/56-49-41/57-53-41
[14]	[11]	2/3/4	56-50/55-35-46/56-49-41-46
[14]	[12]	1/3/4	56/57-53-42/55-34-32-42
[14]	[13]	1/3/4	57/56-49-43/55-34-28-5
[14]	[14]	0/0/0	-/-/-
[14]	[15]	2/2/3	55-37/58-64/55-39-76
[14]	[16]	1/3/4	58/55-37-60/55-39-76-60
[14]	[17]	2/3/3	58-65/55-37-61/58-64-61
[14]	[18]	4/4/4	55-33-25-18/57-52-0-9/55-38-72-12
[14]	[19]	2/3/3	55-38/57-52-6/55-39-77
[14]	[20]	2/3/3	55-39/58-64-62/55-37-62
[15]	[0]	3/3/3	59-34-28/62-77-71/59-38-71
[15]	[1]	4/4/4	59-34-28-0/62-77-71-0/59-38-71-0
[15]	[2]	3/3/4	59-38-72/62-77-72/59-34-28-1
[15]	[3]	3/4/4	59-33-25/62-75-33-25/59-34-28-2
[15]	[4]	4/4/5	59-33-25-15/59-34-29-23/62-75-33-25-15
[15]	[5]	3/4/4	59-34-29/62-75-34-29/59-38-71-3
[15]	[6]	2/3/3	59-33/62-75-33/59-34-30
[15]	[7]	2/3/3	59-34/62-75-34/59-33-26
[15]	[8]	1/2/3	59/62-75/60-63-55
[15]	[9]	3/3/4	59-34-32/59-35-45/60-63-56-49
[15]	[10]	2/3/4	59-35/62-75-35/59-34-32-41
[15]	[11]	3/4/4	59-35-46/60-63-56-50/59-36-56-50
[15]	[12]	3/3/4	59-36-56/60-63-56/59-34-32-42
[15]	[13]	3/3/4	59-36-57/60-63-57/59-34-28-5
[15]	[14]	2/2/3	59-36/60-63/61-67-63
[15]	[15]	0/0/0	-/-/-
[15]	[16]	1/2/3	60/61-67/59-36-58
[15]	[17]	1/2/4	61/60-65/59-36-58-65
[15]	[18]	4/4/4	59-33-25-18/62-77-72-12/59-38-72-12
[15]	[19]	2/2/3	59-38/62-77/59-39-77
[15]	[20]	1/2/3	62/59-39/59-38-74
[16]	[0]	3/4/4	63-57-52/64-59-34-28/63-55-34-28
[16]	[1]	4/5/5	63-57-52-0/64-59-34-28-0/63-55-34-28-0
[16]	[2]	4/4/4	63-55-38-72/64-59-38-72/63-57-52-1
[16]	[3]	4/4/4	63-55-33-25/64-59-33-25/63-57-52-2
[16]	[4]	5/5/5	63-55-33-25-15/64-59-33-25-15/63-57-52-2-15
[16]	[5]	4/4/4	63-55-34-29/64-59-34-29/63-57-52-3
[16]	[6]	3/3/4	63-55-33/64-59-33/63-55-34-30
[16]	[7]	3/3/4	63-55-34/64-59-34/63-56-49-40
[16]	[8]	2/2/3	63-55/64-59/65-66-59
[16]	[9]	3/3/4	63-56-49/63-57-53/64-59-34-32
[16]	[10]	3/3/4	63-55-35/64-59-35/63-56-49-41
[16]	[11]	3/4/4	63-56-50/64-59-35-46/63-55-35-46
[16]	[12]	2/4/4	63-56/64-59-36-56/63-57-53-42
[16]	[13]	2/4/4	63-57/64-59-36-57/63-56-49-43
[16]	[14]	1/3/4	63/64-59-36/65-66-59-36
[16]	[15]	1/2/3	64/65-66/63-55-37
[16]	[16]	0/0/0	-/-/-
[16]	[17]	1/2/4	65/64-61/63-55-37-61
[16]	[18]	5/5/5	63-55-33-25-18/64-59-38-72-12/63-57-52-0-9
[16]	[19]	3/3/3	63-55-38/64-59-38/64-62-77
[16]	[20]	2/3/3	64-62/63-55-39/64-59-39
[17]	[0]	4/4/4	66-59-34-28/67-63-57-52/66-62-77-71
[17]	[1]	5/5/5	66-59-34-28-0/67-63-57-52-0/66-62-77-71-0
[17]	[2]	4/4/5	66-59-38-72/66-62-77-72/67-63-55-38-72
[17]	[3]	4/5/5	66-59-33-25/67-63-55-33-25/66-62-75-33-25
[17]	[4]	5/5/6	66-59-33-25-15/66-59-34-29-23/67-63-55-33-25-15
[17]	[5]	4/5/5	66-59-34-29/67-63-55-34-29/66-62-75-34-29
[17]	[6]	3/4/4	66-59-33/67-63-55-33/66-62-75-33
[17]	[7]	3/4/4	66-59-34/67-63-55-34/66-62-75-34
[17]	[8]	2/3/3	66-59/67-63-55/66-62-75
[17]	[9]	4/4/4	66-59-34-32/67-63-56-49/66-59-35-45
[17]	[10]	3/4/4	66-59-35/67-63-55-35/66-62-75-35
[17]	[11]	4/4/5	66-59-35-46/67-63-56-50/66-62-75-35-46
[17]	[12]	3/4/4	67-63-56/66-59-36-56/66-60-63-56
[17]	[13]	3/4/4	67-63-57/66-59-36-57/66-60-63-57
[17]	[14]	2/3/3	67-63/66-59-36/66-60-63
[17]	[15]	1/2/4	66/67-64/67-63-55-37
[17]	[16]	1/2/4	67/66-60/66-59-36-58
[17]	[17]	0/0/0	-/-/-
[17]	[18]	5/5/5	66-59-38-72-12/66-62-77-72-12/66-59-33-25-18
[17]	[19]	3/3/4	66-59-38/66-62-77/67-63-55-38
[17]	[20]	2/3/3	66-62/67-64-62/66-59-39
[18]	[0]	2/2/2	68-7/69-10/70-14
[18]	[1]	1/2/3	68/69-11/70-14-0
[18]	[2]	1/2/3	69/68-8/70-14-1
[18]	[3]	1/3/3	70/68-7-2/69-10-2
[18]	[4]	2/3/4	70-15/70-16-23/68-7-2-15
[18]	[5]	2/3/3	70-16/68-7-3/70-14-3
[18]	[6]	2/4/4	70-17/68-7-2-17/70-14-4-30
[18]	[7]	3/3/3	68-7-4/69-10-4/70-14-4
[18]	[8]	3/3/4	69-13-73/70-17-27/69-10-4-31
[18]	[9]	4/4/4	68-7-4-32/69-10-4-32/68-7-5-53
[18]	[10]	4/4/5	70-17-27-35/69-13-73-35/70-14-4-31-35
[18]	[11]	5/5/6	70-17-27-35-46/69-13-73-35-46/70-14-4-31-35-46
[18]	[12]	5/5/5	68-7-4-32-42/69-10-4-32-42/68-7-5-53-42
[18]	[13]	3/3/3	68-7-5/69-10-5/70-14-5
[18]	[14]	4/4/4	70-17-27-36/68-7-5-54/70-14-5-54
[18]	[15]	4/4/4	70-17-27-37/69-13-73-37/69-13-74-76
[18]	[16]	5/5/5	70-17-27-36-58/69-13-73-36-58/70-14-5-54-58
[18]	[17]	5/5/5	70-17-27-37-61/69-13-73-37-61/69-13-74-76-61
[18]	[18]	0/0/0	-/-/-
[18]	[19]	2/3/3	69-13/68-7-6/69-10-6
[18]	[20]	3/4/4	69-13-74/70-17-27-39/69-10-6-74
[19]	[0]	1/2/3	71/72-10/73-34-28
[19]	[1]	2/2/3	71-0/72-11/71-1-11
[19]	[2]	1/2/3	72/71-1/71-0-8
[19]	[3]	2/3/3	71-2/72-10-2/71-3-22
[19]	[4]	3/3/4	71-2-15/71-3-23/72-10-2-15
[19]	[5]	2/3/3	71-3/72-10-3/71-2-16
[19]	[6]	2/3/3	73-33/71-2-17/73-34-30
[19]	[7]	2/2/3	71-4/73-34/71-3-24
[19]	[8]	1/2/3	73/74-75/71-4-31
[19]	[9]	3/3/3	71-4-32/73-34-32/71-5-53
[19]	[10]	2/3/4	73-35/74-75-35/73-34-32-41
[19]	[11]	3/4/4	73-35-46/74-75-35-46/73-36-56-50
[19]	[12]	3/4/4	73-36-56/71-4-32-42/73-34-32-42
[19]	[13]	2/3/3	71-5/72-10-5/73-36-57
[19]	[14]	2/3/3	73-36/71-5-54/74-75-36
[19]	[15]	2/2/3	73-37/74-76/73-39-76
[19]	[16]	3/3/3	73-36-58/74-76-60/73-37-60
[19]	[17]	3/3/4	73-37-61/74-76-61/73-39-76-61
[19]	[18]	2/3/3	72-12/71-0-9/72-11-9
[19]	[19]	0/0/0	-/-/-
[19]	[20]	1/2/3	74/73-39/73-37-62
[20]	[0]	2/3/3	77-71/75-34-28/77-72-10
[20]	[1]	3/3/4	77-71-0/77-72-11/75-34-28-0
[20]	[2]	2/3/3	77-72/75-38-72/77-71-1
[20]	[3]	3/3/4	75-33-25/77-71-2/75-34-28-2
[20]	[4]	4/4/4	75-33-25-15/77-71-2-15/75-34-29-23
[20]	[5]	3/3/4	75-34-29/77-71-3/75-38-71-3
[20]	[6]	2/3/3	75-33/76-59-33/75-34-30
[20]	[7]	2/3/3	75-34/76-59-34/75-33-26
[20]	[8]	1/2/2	75/76-59/77-73
[20]	[9]	3/3/4	75-34-32/75-35-45/77-71-4-32
[20]	[10]	2/3/3	75-35/76-59-35/77-73-35
[20]	[11]	3/4/4	75-35-46/76-59-35-46/75-36-56-50
[20]	[12]	3/4/4	75-36-56/76-59-36-56/75-34-32-42
[20]	[13]	3/3/4	75-36-57/77-71-5/75-34-28-5
[20]	[14]	2/3/3	75-36/76-59-36/77-73-36
[20]	[15]	1/2/3	76/75-37/77-73-37
